Date,Code,Name,12m Low_num,12m High_num,Day Low_num,Day High_num,Day Price_num,Previous_num,Change_num,Change%_num,Volume_num,Adjusted Price_num
2024-09-23,EGAD,Eaagads Ltd,10.35,14.5,11.45,11.45,11.45,12.7,-1.25,9.84,500.0,
2024-09-23,KUKZ,Kakuzi Plc,342.0,440.0,381.0,381.0,381.0,381.0,,,,
2024-09-23,KAPC,Kapchorua Tea Kenya Plc,207.0,280.0,246.0,246.0,246.0,246.0,,,,
2024-09-23,LIMT,Limuru Tea Plc,365.0,380.0,365.0,365.0,365.0,365.0,,,,
2024-09-23,SASN,Sasini Plc,15.5,22.0,17.5,17.5,17.5,17.1,0.4,2.34,100.0,
2024-09-23,WTK,Williamson Tea Kenya Plc,193.5,290.0,219.0,219.0,219.0,219.0,,,100.0,
2024-09-23,CGEN,Car and General (K) Ltd,17.95,31.8,17.95,21.0,19.15,19.75,-0.6,3.04,1800.0,
2024-09-23,ABSA,ABSA Bank Kenya Plc,10.55,16.35,14.0,14.5,14.25,14.3,-0.05,0.35,1249900.0,
2024-09-23,BKG,BK Group Plc,30.0,37.0,32.7,33.5,33.5,32.5,1.0,3.08,2527900.0,
2024-09-23,COOP,Co-operative Bank of Kenya Ltd,10.1,15.2,13.1,13.25,13.15,13.25,-0.1,0.75,660200.0,
2024-09-23,DTK,Diamond Trust Bank Kenya Ltd,43.05,56.0,47.5,48.0,47.95,46.7,1.25,2.68,46300.0,
2024-09-23,EQTY,Equity Group Holdings Plc,33.6,51.0,41.55,42.2,42.0,42.0,,,378100.0,
2024-09-23,HFCK,HF Group Ltd,3.02,4.9,4.15,4.5,4.44,4.38,0.06,1.37,108700.0,
2024-09-23,IMH,I & M Holdings Plc,16.5,35.0,23.0,24.0,23.9,23.55,0.35,1.49,43400.0,
2024-09-23,KCB,KCB Group Plc,15.0,40.0,33.6,34.5,33.75,33.85,-0.1,0.3,1637400.0,
2024-09-23,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,,,,
2024-09-23,NCBA,NCBA Group Plc,34.05,47.0,41.1,42.5,41.9,41.0,0.9,2.2,4600.0,
2024-09-23,SBIC,Stanbic Holdings Plc,100.0,130.0,115.0,116.0,116.0,116.0,,,117800.0,
2024-09-23,SCBK,Standard Chartered Bank Kenya Ltd,148.0,233.0,203.5,206.0,205.25,203.75,1.5,0.74,4800.0,
2024-09-23,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,,,,
2024-09-23,EVRD,Eveready East Africa Ltd,0.97,1.65,1.02,1.03,1.02,1.02,,,72600.0,
2024-09-23,XPRS,Express Kenya Plc,2.74,3.99,3.5,3.5,3.5,3.53,-0.03,0.85,100.0,
2024-09-23,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,,,,
2024-09-23,KQ,Kenya Airways Plc,3.83,3.83,3.83,3.83,3.83,3.83,,,,
2024-09-23,LKL,Longhorn Publishers Plc,2.02,2.65,2.5,2.5,2.5,2.5,,,200.0,
2024-09-23,NBV,Nairobi Business Ventures Ltd,1.85,2.9,1.94,2.27,1.95,2.1,-0.15,7.14,53900.0,
2024-09-23,NMG,Nation Media Group Plc,14.0,22.4,15.05,15.05,15.05,15.0,0.05,0.33,200.0,
2024-09-23,SMER,Sameer Africa Plc,1.87,2.75,2.33,2.42,2.35,2.42,-0.07,2.89,500.0,
2024-09-23,SGL,Standard Group Plc,4.86,9.0,6.1,6.6,6.2,6.16,0.04,0.65,800.0,
2024-09-23,TPSE,TPS Eastern Africa (Serena) Ltd,11.0,20.15,13.5,13.5,13.5,12.65,0.85,6.72,200.0,
2024-09-23,UCHM,Uchumi Supermarket Plc,0.16,0.23,0.17,0.19,0.18,0.18,,,173900.0,
2024-09-23,SCAN,WPP ScanGroup Plc,1.86,2.69,2.38,2.38,2.38,2.38,,,7500.0,
2024-09-23,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,,,,
2024-09-23,BAMB,Bamburi Cement Ltd,21.3,84.0,55.0,72.0,62.5,80.5,-18.0,22.36,13800.0,
2024-09-23,CRWN,Crown Paints Kenya Plc,29.0,40.05,30.0,30.0,30.0,30.0,,,,
2024-09-23,CABL,East African Cables Plc,0.79,1.1,0.9,0.92,0.91,0.9,0.01,1.11,42100.0,
2024-09-23,PORT,East African Portland Cement Ltd,4.38,55.75,19.0,20.15,19.9,18.35,1.55,8.45,2700.0,
2024-09-23,KEGN,Kenya Electricity Generating Company Plc,1.94,3.4,3.15,3.4,3.24,3.11,0.13,4.18,1398600.0,
2024-09-23,KPLC-P4,KPLC-P4,4.0,4.11,4.0,4.0,4.0,4.0,,,,
2024-09-23,KPLC-P7,KPLC-P7,6.0,6.0,6.0,6.0,6.0,6.0,,,,
2024-09-23,KPLC,Kenya Power and Lighting Company Plc,1.3,3.95,3.4,3.95,3.62,3.77,-0.15,3.98,3037200.0,
2024-09-23,TOTL,TotalEnergies Marketing Kenya Plc,14.55,25.0,19.0,21.0,19.7,21.0,-1.3,6.19,8000.0,
2024-09-23,UMME,Umeme Ltd,13.0,17.9,15.95,17.0,16.6,16.55,0.05,0.3,22500.0,
2024-09-23,BRIT,Britam Holdings Plc,4.25,6.5,5.52,5.88,5.64,5.8,-0.16,2.76,27300.0,
2024-09-23,CIC,CIC Insurance Group Ltd,1.8,2.5,2.05,2.09,2.06,2.09,-0.03,1.44,174400.0,
2024-09-23,JUB,Jubilee Holdings Ltd,150.0,202.0,163.0,163.0,163.0,160.0,3.0,1.88,300.0,
2024-09-23,KNRE,Kenya Re-Insurance Corporation Ltd,1.0,3.0,1.28,1.39,1.33,1.29,0.04,3.1,4567400.0,
2024-09-23,LBTY,Liberty Kenya Holdings Ltd,3.5,7.96,5.6,5.6,5.6,5.6,,,,
2024-09-23,SLAM,Sanlam Kenya Plc,5.5,7.7,6.5,6.56,6.56,6.1,0.46,7.54,900.0,
2024-09-23,CTUM,Centum Investment Company Plc,7.62,10.4,8.9,9.02,9.02,8.92,0.1,1.12,23900.0,
2024-09-23,HAFR,Home Afrika Ltd,0.27,0.42,0.33,0.36,0.35,0.34,0.01,2.94,81800.0,
2024-09-23,KURV,Kurwitu Ventures Ltd,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,,,,
2024-09-23,OCH,Olympia Capital Holdings Ltd,2.58,4.0,2.65,2.94,2.74,2.75,-0.01,0.36,1400.0,
2024-09-23,TCL,Trans-Century Plc,0.29,0.72,0.37,0.37,0.37,0.34,0.03,8.82,46300.0,
2024-09-23,NSE,Nairobi Securities Exchange Plc,5.22,6.8,5.66,5.8,5.7,5.66,0.04,0.71,12300.0,
2024-09-23,BOC,BOC Kenya Plc,67.0,96.0,79.0,79.0,79.0,86.0,-7.0,8.14,4500.0,
2024-09-23,BAT,British American Tobacco Kenya Plc,325.0,455.0,344.0,348.5,347.75,347.0,0.75,0.22,5800.0,
2024-09-23,CARB,Carbacid Investments Plc,14.05,24.5,21.5,22.6,22.3,22.75,-0.45,1.98,20100.0,
2024-09-23,EABL,East African Breweries Ltd,99.0,204.0,151.5,160.0,156.25,153.75,2.5,1.63,742700.0,
2024-09-23,FTGH,Flame Tree Group Holdings Ltd,0.91,1.39,1.04,1.1,1.04,1.04,,,31200.0,
2024-09-23,ORCH,Kenya Orchards Ltd,19.0,77.0,19.0,19.0,19.0,19.0,,,,
2024-09-23,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,,,,
2024-09-23,UNGA,Unga Group Ltd,11.05,18.45,14.85,16.2,15.6,14.75,0.85,5.76,3200.0,
2024-09-23,SCOM,Safaricom Plc,11.5,21.15,14.95,15.3,15.0,15.0,,,1872100.0,
2024-09-23,LAPR,Laptrust Imara Income-REIT,20.0,20.0,20.0,20.0,20.0,20.0,,,,
2024-09-23,GLD,ABSA NewGold ETF,2625.0,3330.0,3050.0,3050.0,3050.0,3050.0,,,,
2024-09-23,^N10I,NSE 10-Share Index,870.02,1233.42,1110.92,1110.92,1110.92,1107.05,3.87,0.35,,
2024-09-23,^N20I,NSE 20-Share Index,1416.32,1864.72,1775.33,1775.33,1775.33,1790.64,-15.31,0.86,,
2024-09-23,^N25I,NSE 25-Share Index,2276.08,3154.93,2867.49,2867.49,2867.49,2866.55,0.94,0.03,,
2024-09-23,^NASI,NSE All-Share Index,85.54,117.78,106.35,106.35,106.35,106.44,-0.09,0.08,,
2024-09-23,^NBDI,NSE Bonds Index,986.46,1042.42,998.97,998.97,998.97,999.58,-0.61,0.06,,
2024-09-23,^ZKEQTK,Zamara Kenya Equity Index (KES),1477.09,2396.79,2125.93,2125.93,2125.93,2117.55,8.38,0.4,,
2024-09-23,^ZKEQTU,Zamara Kenya Equity Index (USD),818.46,1599.72,1418.93,1418.93,1418.93,1413.34,5.59,0.4,,
